alarm_id,alarm_name,source_device,priority,description,operator_action
ALM001,1번 집수조 고수위,T1_LEVEL_HIGH_SW,high,1번 집수조 수위가 고수위에 도달,배수펌프 운전 상태와 유입량 확인
ALM002,1번 집수조 초고수위,T1_LEVEL_HIGH_HIGH_SW,critical,1번 집수조 초고수위 발생,가능 펌프 전량 투입 및 현장 확인
ALM003,2번 집수조 고수위,T2_LEVEL_HIGH_SW,high,2번 집수조 수위가 고수위에 도달,이송펌프 운전 상태 확인
ALM004,2번 집수조 초고수위,T2_LEVEL_HIGH_HIGH_SW,critical,2번 집수조 초고수위 발생,이송펌프 전량 투입 및 현장 확인
ALM005,저수위 공회전 방지,T1_LEVEL_LOW_SW,high,저수위 조건에서 펌프 공회전 위험,펌프 운전 차단 조건 확인
ALM006,펌프 과부하,T1_PUMP_1_OVERLOAD_TRIP,critical,펌프 과부하 트립 발생,MCC 및 모터 상태 확인
ALM007,펌프 기동 실패,T1_PUMP_1_RUN_FB,high,기동 명령 후 운전 피드백 미검출,펌프/인버터/피드백 배선 확인
ALM008,펌프 운전 중 유량 없음,T1_PUMP_1_FLOW_OK,high,펌프 운전 중 유량 부족 또는 유량 없음,배관 막힘/밸브 상태/유량계 확인
ALM009,밸브 열림 실패,T1_DRAIN_VALVE_OPEN_FB,high,밸브 열림 명령 후 열림 피드백 미검출,밸브 액추에이터 및 리미트 스위치 확인
ALM010,밸브 닫힘 실패,T1_DRAIN_VALVE_CLOSE_FB,high,밸브 닫힘 명령 후 닫힘 피드백 미검출,밸브 액추에이터 및 리미트 스위치 확인
ALM011,1번 구역 누수 감지,LEAK_T1_AREA_DETECTED,critical,1번 집수조 주변 누수 감지,해당 구역 펌프 정지 및 현장 점검
ALM012,2번 구역 누수 감지,LEAK_T2_AREA_DETECTED,critical,2번 집수조 주변 누수 감지,해당 구역 펌프 정지 및 현장 점검
ALM013,MCC 전원 이상,MCC_MAIN_POWER_OK,critical,MCC 메인 전원 이상,전원 계통 및 차단기 확인
ALM014,비상정지,ESTOP_OK,critical,비상정지 회로 동작,원인 제거 후 수동 리셋
ALM015,통신 이상,PLC_COMM_HEALTH_OK,medium,PLC/HMI 통신 이상,통신 케이블 및 설정 확인
ALM016,수위계 이상,T1_LEVEL_TRANSMITTER_FAULT,medium,아날로그 수위계 이상,센서 단선/스케일/전원 확인
