tag_name,device,type,description,screen
T1_LEVEL_AI,D000,WORD,1번 집수조 아날로그 수위,MAIN
T2_LEVEL_AI,D001,WORD,2번 집수조 아날로그 수위,MAIN
T1_LEVEL_LOW_SW,X010,BIT,1번 집수조 저수위 스위치,MAIN
T1_LEVEL_MID_SW,X011,BIT,1번 집수조 중수위 스위치,MAIN
T1_LEVEL_HIGH_SW,X012,BIT,1번 집수조 고수위 스위치,MAIN
T1_LEVEL_HIGH_HIGH_SW,X013,BIT,1번 집수조 초고수위 스위치,MAIN
T2_LEVEL_LOW_SW,X014,BIT,2번 집수조 저수위 스위치,MAIN
T2_LEVEL_MID_SW,X015,BIT,2번 집수조 중수위 스위치,MAIN
T2_LEVEL_HIGH_SW,X016,BIT,2번 집수조 고수위 스위치,MAIN
T2_LEVEL_HIGH_HIGH_SW,X017,BIT,2번 집수조 초고수위 스위치,MAIN
T1_PUMP_1_RUN_CMD,Y000,BIT,1번 집수조 배수펌프 1 운전 명령,MAIN
T1_PUMP_2_RUN_CMD,Y001,BIT,1번 집수조 배수펌프 2 운전 명령,MAIN
T1_PUMP_3_RUN_CMD,Y002,BIT,1번 집수조 배수펌프 3 운전 명령,MAIN
T2_PUMP_1_RUN_CMD,Y003,BIT,2번 집수조 이송펌프 1 운전 명령,MAIN
T2_PUMP_2_RUN_CMD,Y004,BIT,2번 집수조 이송펌프 2 운전 명령,MAIN
T1_PUMP_1_RUN_FB,X018,BIT,1번 집수조 배수펌프 1 운전 피드백,MAIN
T1_PUMP_1_FAULT_FB,X019,BIT,1번 집수조 배수펌프 1 고장 피드백,ALARM
T1_PUMP_1_OVERLOAD_TRIP,X020,BIT,1번 집수조 배수펌프 1 과부하,ALARM
LEAK_T1_AREA_DETECTED,X071,BIT,1번 집수조 구역 누수 감지,ALARM
LEAK_T2_AREA_DETECTED,X072,BIT,2번 집수조 구역 누수 감지,ALARM
TOWER_LAMP_RED,Y017,BIT,고장/초고수위 적색 경광등,MAIN
TOWER_LAMP_YELLOW,Y018,BIT,주의/고수위 황색 경광등,MAIN
BUZZER,Y019,BIT,현장 부저 출력,MAIN
